GROUP,TYPE (YEAR),Proposal
Al-Bayan,PUB (16),"$4,200.00"
BARE Magazine,PUB (10),"$4,740.00"
Bears Beyond Bars,PUB (2),$100.00
Berkeley Fiction Review,PUB (33),"$1,700.00"
Berkeley Poetry Review,PUB (22),"$2,500.00"
Berkeley Political Review,PUB (15),"$5,600.00"
Berkeley Science Review,PUB (16),"$1,100.00"
Berkeley Scientific Journal,PUB (2),$500.00
BFM Radio,PUB (3),$900.00
Blue and Gold Yearbook,PUB (3),"$1,000.00"
Cal Literature and Arts Magazine,PUB (19),"$1,900.00"
Caliber Magazine,PUB (7),"$7,200.00"
Chevere,PUB (2),$900.00
Clio's Scroll,PUB (17),"$1,900.00"
Exposure-Organzation Student Photographers,PUB (1),$0.00
hard boiled newsmagazine,PUB (20),"$4,200.00"
Issues Berkeley Medical Journal,PUB (2),$900.00
Maganda Magazine,PUB (27),"$2,400.00"
Morning Sign Out,PUB (2),$700.00
Perspective Magazine,PUB (20),"$3,500.00"
Pre-Law Society at Berkeley,PUB (1),$700.00
ProSeed,PUB (1),$0.00
Spoon University at Berkeley,PUB (3),"$1,100.00"
The Folio English Academic Journal,PUB (5),$700.00
The Heuristic Squelch,PUB (20),"$7,800.00"
The Public Health Advocate,PUB (12),"$1,100.00"
The Rhetoric Society at Berkeley,PUB (1),$400.00
The Travel Section,PUB (1),$0.00
"The Triple Helix: The Journal Of Science, Society, and Law",PUB (2),$900.00
To an Unknown God,PUB (8),"$3,400.00"
Undergraduate Journal of Classics at Berkeley,PUB (2),$900.00
Undergraduate Journal of Psychology at Berkeley,PUB (5),$600.00
180 Degrees Consulting at Berkeley,SAG (1),$500.00
a2fellowship,SAG (14),"$3,600.00"
Abba Modern,SAG (5),"$1,000.00"
Afghan Student Association,SAG (8),"$1,200.00"
AFX Dance,SAG (4),$500.00
Align: Undergraduate Society for Comp Bio,SAG (1) ,$0.00
Alpha Epsilon Zeta,SAG (12),"$1,800.00"
Alpha Kappa Psi,SAG (6),"$1,200.00"
Alpha Phi Omega,SAG (31),"$3,000.00"
American Indian Science and Engineering Society,SAG (0),$0.00
American Institute of Aeronautics and Astronautics,SAG (0),$0.00
American Institute of Architecture Students,SAG (8),$200.00
American Medical Student Association,SAG (18),$500.00
American Medical Women's Association,SAG (3),$500.00
American Parliamentary Debate Society of Berkeley,SAG (5),$900.00
Anthropology Undergraduate Association,SAG (0),$200.00
Argentine Tango Club of Berkeley,SAG (6),"$1,200.00"
Armenian Student Association,SAG (34),"$2,200.00"
