Organization,Year,Type,Allocation
ASUC Publications and Media Board,GOVT,,"$8,000.00"
ASUC Student Union Program Entertainment & Recreation Board (SUPERB),GOVT,,"$130,000.00"
ASUC Sustainability Team,GOVT,,"$3,000.00"
Helios Solar Program,GOVT,,"$1,000.00"
Innovative Design,GOVT,,"$6,600.00"
Mental Health Coalition,GOVT,,$500.00
Open Computing Facility,GOVT,,"$30,000.00"
Housing Commission,GOVT,,"$1,000.00"
CalTV,GOVT,,"$8,500.00"
Sexual Assault Commission ,GOVT,,"$3,000.00"
BARE Magazine,PUB,10,"$3,000.00"
Berkeley Fiction Review,PUB,34,"$1,500.00"
Berkeley Poetry Review,PUB,23,"$2,500.00"
"Berkeley Political Review, The (Political)",PUB,16,"$6,000.00"
Berkeley Science Review,PUB,17,"$1,100.00"
Berkeley Scientific Journal,PUB,2,$500.00
Blue and Gold Yearbook,PUB,4,$900.00
Cal Literature and Arts Magazine,PUB,26,"$2,400.00"
Caliber Magazine,PUB,8,"$7,200.00"
California Patriot Magazine,PUB,3,$800.00
Comparative Literature Undergraduate Journal,PUB,2,$700.00
Fashion Editorial of Berkeley,PUB,1,$400.00
K-Popular at Berkeley,PUB,7,$600.00
Maganda Magazine,PUB,28,"$2,500.00"
Mechanism of Feeling,PUB,1,$700.00
Morning Sign Out,PUB,3,$900.00
Perspective Magazine,PUB,20,"$3,290.00"
"Smart Ass, The",PUB,16,"$3,000.00"
Spoon University at Berkeley,PUB,4,"$1,100.00"
The B-Side,PUB,5,$770.00
The Folio: English Academic (TF),PUB,6,$750.00
The Public Health Advocate,PUB,13,"$1,100.00"
The Rhetoric Society at Berkeley,PUB,2,$400.00
The Rhetoric Undergraduate Journal,PUB,1,$700.00
Threads (formerly Al-Bayan),PUB,17,"$8,100.00"
To An Unknown God (TAUG),PUB,9,"$2,900.00"
Undergraduate Journal of Classics at Berkeley,PUB,3,"$1,100.00"
"Visual Development, Illustration, and Storytelling Arts",PUB,1,$700.00
Heuristic Squelch ,PUB,21,"$1,500.00"
Surfrider Foundation Club,SAG,3,$200.00
180 Degrees Consulting at Berkeley,SAG,2,$500.00
3DMC,SAG,5,$0.00
"A.S.T.R.O - Astronomer's Society for Teaching, Recreation and Outreach",SAG,1,$400.00
Acts2Fellowship,SAG,16,"$3,000.00"
Afghan Student Association,SAG,10,"$1,200.00"
AFX Dance,SAG,5,"$1,200.00"
Align: Undergraduate Society for Computational Biology,SAG,2,$400.00
Alpha Epsilon Zeta,SAG,13,"$1,800.00"
Alpha Kappa Psi,SAG,7,"$1,580.00"
Alpha Phi Omega (APO),SAG,32,"$3,500.00"
American Advertising Federation,SAG,2,$400.00
American Chemical Society at Berkeley Student Chapter,SAG,2,$380.00
American Institute of Aeronautics and Astronautics,SAG,1,$0.00
American Medical Student Association,SAG,19,$650.00
American Medical Women's Association at Berkeley,SAG,2,$400.00
American Society of Civil Engineers,SAG,1,$0.00
Arab Student Union,SAG,6,"$1,200.00"
Armenian Students' Association,SAG,35,"$2,000.00"
Army ROTC Cadet Club,SAG,1,$500.00
Artists in Resonance,SAG,3,$500.00
Ascend,SAG,9,$300.00
Asian American Association,SAG,20,"$7,400.00"
Asian American Christian Fellowship,SAG,4,$400.00
Association for Muslim Professional Development,SAG,11,"$1,400.00"
Autofocus,SAG,1,$0.00
Autonomous Underwater Vehicles Team at Berkeley,SAG,1,$0.00
Azaad,SAG,5,"$1,000.00"
Backgammon League of Berkeley,SAG,1,$400.00
Ballet Company at Berkeley,SAG,6,$600.00
Ballet Folklorico Reflejos De Mexico,SAG,5,$980.00
Bay Area Engineering Consultancy,SAG,1,$0.00
Berkeley Ballroom Dancers,SAG,3,$400.00
Berkeley Carillon Guild,SAG,14,$500.00
Berkeley Chinese Students and Scholars Association,SAG,11,"$1,300.00"
Berkeley College Republicans,SAG,22,"$5,000.00"
Berkeley Energy & Resources Collaborative,SAG,1,$400.00
Berkeley Indonesian Student Association,SAG,3,$500.00
Berkeley Model United Nations,SAG,3,$0.00
Berkeley Urban Studies Student Association,SAG,1,$0.00
Berkeley Water Group Idea Lab,SAG,2,$500.00
Berkeley Women in Business,SAG,14,$500.00
BerkOp (Berkeley Opinion),SAG,1,$650.00
Best Laid Plans,SAG,1,$400.00
Beta Alpha Psi,SAG,1,$0.00
Beyond Academia,SAG,1,$0.00
Black Engineering and Science Student Association,SAG,3,$0.00
Black Recruitment and Retention Center,SAG,35,"$50,300.00"
Black Student Union,SAG,8,$500.00
Black Students in Health Association,SAG,2,$200.00
Blockchain at Berkeley,SAG,1,$0.00
Board Games at Berkeley,SAG,1,$500.00
Bridge Year to Berkeley,SAG,1,$400.00
BridgeUSA at Berkeley,SAG,1,$400.00
Business Careers in Entertainment Club,SAG,4,$800.00
Cal Actuarial League,SAG,13,$450.00
Cal American Civil Liberties Union,SAG,1,$400.00
Cal Berkeley Democrats,SAG,20,"$4,200.00"
Cal Dragon Boat,SAG,14,"$2,500.00"
Cal Hawaii Club,SAG,29,"$3,400.00"
Cal Hiking and Outdoor Society,SAG,69,"$5,000.00"
Cal in the Capital,SAG,40,"$3,750.00"
Cal Japan Club,SAG,10,$300.00
Cal Opportunity Scholars Association,SAG,1,$400.00
Cal Performances Student Ambassadors for the Arts,SAG,4,$500.00
Cal Pre-Vet Club,SAG,8,$200.00
Cal Super Mileage Vehicle,SAG,1,$400.00
Cal Taiko,SAG,13,"$4,000.00"
Cal Undergraduate Public Health Coalition,SAG,14,$600.00
California Health Professional Student Alliance,SAG,1,$500.00
California Mock Trial,SAG,17,"$17,500.00"
Californium Brewing and Winemaking,SAG,4,$480.00
CalSlam,SAG,13,$600.00
Career Attainment in Responsible Enterprises,SAG,1,$500.00
Catholic Students at Cal - Newman Hall,SAG,6,$500.00
Chinese A Cappella at Berkeley,SAG,4,$500.00
Chinese Finance Club,SAG,1,$400.00
Chinese People Union,SAG,14,"$1,500.00"
Chinese Psychology Group at Berkeley,SAG,1,$400.00
Chinese Student Association,SAG,28,"$6,000.00"
Cinebears,SAG,1,$0.00
Circle K International,SAG,23,"$4,500.00"
Civil & Environmental Engineering Joint Fundraising Committee,SAG,1,$0.00
"Coalition to Defend Affirmative Action, Integration, and Immigrant Rights and Fight for Equality By Any Means Necessary",SAG,19,"$3,500.00"
CodeBase,SAG,2,$0.00
Cognitive Science Student Association,SAG,6,$500.00
Colombians at Berkeley,SAG,4,$500.00
