Name,Type,Years of Sponsorship,Funding Request,Finance Officer,Finance Committee,Final Allocation
Al-Bayan,PUB,14,1500.00,1200.00,1200.00,1200.00
Alternative Breaks Publishing Group,PUB,12,2500.00,900.00,900.00,900.00
BARE Magazine,PUB,8,7300.00,1500.00,4500.00,4500.00
Berkeley Fiction Review,PUB,31,,1000.00,1000.00,1000.00
Berkeley Poetry Review,PUB,20,,1000.00,1500.00,1500.00
Berkeley Political Review,PUB,13,5000.00,4500.00,4500.00,4500.00
Berkeley Science Review,PUB,14,2115.00,2115.00,2115.00,2115.00
Blue & Gold Yearbook,PUB,1,500.00,500.00,500.00,500.00
B-Side,PUB,1,300.00,300.00,300.00,300.00
byte of Berkeley,PUB,2,1500.00,900.00,900.00,900.00
Cal Literature and Arts Magazine,PUB,17,1400.00,1400.00,1400.00,1400.00
Caliber Magazine,PUB,5,9482.00,1500.00,7500.00,7500.00
California Patriot,PUB,1,4040.00,700.00,700.00,700.00
CalTV,PUB,10,4000.00,4000.00,4000.00,4000.00
Clio's Scroll,PUB,15,1320.00,1100.00,1100.00,1100.00
Folio,PUB,3,2000.00,1100.00,1100.00,1100.00
hardboiled newsmagazine,PUB,18,4680.46,3000.00,4000.00,4000.00
Heuristic Squelch,PUB,18,8000.00,3000.00,8000.00,8000.00
International Youth and Students for Social Equality Publications Group,PUB,2,800.00,800.00,800.00,800.00
La Voz de Berkeley,PUB,1,5250.00,700.00,700.00,700.00
maganda magazine,PUB,25,2250.00,1650.00,1650.00,1650.00
Onyx Express Magazine,PUB,19,5000.00,4000.00,4000.00,4000.00
Public Health Advocate,PUB,10,300.00,300.00,300.00,300.00
Sather Health,PUB,4,723.00,723.00,723.00,723.00
Science of Wellness,PUB,3,800.00,800.00,800.00,800.00
Smart Ass,PUB,16,4000.00,3700.00,3700.00,3700.00
Spoon University at Berkeley,PUB,1,900.00,700.00,700.00,700.00
Starving Critic,PUB,2,1002.90,900.00,900.00,900.00
To An Unknown God: A Journal of Christian Thought at Berkeley,PUB,6,3000.00,2500.00,2500.00,2500.00
"Troika: An Undergraduate Journal in Slavic, East European and Eurasian Studies",PUB,3,2000.00,1100.00,1100.00,1100.00
Undergraduate Journal of Psychology at Berkeley,PUB,3,600.00,600.00,600.00,600.00
Vagabond Multilingual Journal,PUB,2,2000.00,900.00,900.00,900.00
Words of the Watershed,PUB,1,500.00,500.00,500.00,500.00
[make]new,SAG,1,3000.00,200.00,200.00,200.00
3D Modeling Club,SAG,2,0.00,0.00,0.00,0.00
4Corners Christian Fellowship,SAG,1,2627.00,200.00,200.00,200.00
Abba Modern,SAG,3,1000.00,600.00,600.00,600.00
Acts2fellowship,SAG,13,4000.00,2800.00,3000.00,3000.00
Afghan Student Association,SAG,6,1000.00,600.00,600.00,600.00
AFX Dance,SAG,2,10000.00,400.00,400.00,400.00
Alpha Epsilon Zeta,SAG,10,1500.00,500.00,1200.00,1200.00
Alpha Kappa Lambda,SAG,1,600.00,200.00,200.00,200.00
Alpha Kappa Psi,SAG,4,3000.00,800.00,800.00,800.00
Alpha Phi Omega,SAG,29,5500.00,5000.00,5000.00,5000.00
American Institute of Architecture Students,SAG,6,200.00,200.00,200.00,200.00
American Medical Student Association,SAG,16,700.00,700.00,700.00,700.00
American Medical Women's Association at Berkeley,SAG,1,200.00,200.00,200.00,200.00
American Parliamentary Debate (APDA),SAG,3,3000.00,600.00,600.00,600.00
American Society of Civil Engineers,SAG,9,500.00,500.00,0.00,0.00
Arab Student Union,SAG,4,750.00,750.00,750.00,750.00
Argentine Tango Club of Berkeley,SAG,4,1000.00,800.00,800.00,800.00
Armenian Students' Association,SAG,32,2500.00,2200.00,2200.00,2200.00
Ascend Berkeley Student Chapter,SAG,6,1000.00,300.00,300.00,300.00
Asha for Education,SAG,10,3500.00,700.00,1000.00,1000.00
Asian American Association,SAG,17,12366.08,8000.00,8000.00,8000.00
Asian American Christian Fellowship,SAG,1,200.00,200.00,200.00,200.00
Asian American Public Leaders,SAG,2,4500.00,400.00,400.00,400.00
Asian Pacific American Coalition,SAG,15,3000.00,1300.00,1300.00,1300.00
Association for Muslim Professional Development,SAG,8,1400.00,300.00,1400.00,1400.00
Azaad,SAG,2,1500.00,400.00,400.00,400.00
Ballet Company at Berkeley,SAG,3,400.00,400.00,400.00,400.00
Ballet Folklorico Reflejos de Mexico,SAG,2,3000.00,400.00,400.00,400.00
"BAMN - Coalition to Defend Affirmative Action, Integration, and Immigrant Righ",t SAG,16,4000.00,2700.00,2700.00,2700.00
Berkeley Ballroom,SAG,11,0.00,0.00,0.00,0.00
Berkeley Business Society (formerly International Association of Business Comm,SAG,8,750.00,750.00,750.00,750.00
Berkeley Carillon Guild,SAG,11,1000.00,400.00,400.00,400.00
Berkeley College Republicans,SAG,19,8494.00,1500.00,3500.00,3500.00
Berkeley Consulting,SAG,15,2000.00,800.00,800.00,800.00
Berkeley Environmental Economics and Policy Students,SAG,2,110.00,110.00,110.00,110.00
Berkeley Forum,SAG,3,14000.00,600.00,600.00,600.00
Berkeley Group,SAG,12,2200.00,900.00,900.00,900.00
Berkeley Legal Studies Association,SAG,15,150.00,150.00,150.00,150.00
Berkeley Organization for Animal Advocacy,SAG,15,,500.00,900.00,900.00
Berkeley Students for Life,SAG,16,5000.00,500.00,1000.00,1000.00
Berkeley Women in Business,SAG,12,300.00,300.00,300.00,300.00
BERKOP - Berkeley Opinion,SAG,1,240.00,200.00,200.00,200.00
Bioengineering Association of Students,SAG,1,0.00,0.00,0.00,0.00
Black Political Law Association,SAG,1,250.00,200.00,200.00,200.00
Black Student Union,SAG,5,3000.00,1000.00,1000.00,1000.00
Cal Actuarial League,SAG,10,500.00,500.00,500.00,500.00
Cal Animage Alpha,SAG,4,370.00,370.00,370.00,370.00
Cal Berkeley Democrats,SAG,17,10207.00,3400.00,3400.00,3400.00
Cal Dragon Boat,SAG,10,4650.00,300.00,1200.00,1200.00
Cal Hiking and Outdoors Society - CHAOS,SAG,65,1060.00,500.00,1060.00,1060.00
Cal in the Capital,SAG,37,2337.99,1800.00,1800.00,1800.00
Cal Japan Club,SAG,7,500.00,500.00,500.00,500.00
Cal Opportunity Scholars Association,SAG,1,250.00,200.00,200.00,200.00
Cal Pre-Vet Club,SAG,5,210.00,210.00,210.00,210.00
Cal Set Design,SAG,1,300.00,200.00,200.00,200.00
Cal Slam,SAG,11,700.00,700.00,700.00,700.00
Cal Taiko,SAG,10,2700.00,2700.00,2700.00,2700.00
Cal Undergraduate Public Health Coalition,SAG,11,1480.00,1180.00,1180.00,1180.00
California Mock Trial,SAG,15,55000.00,4500.00,20000.00,20000.00
Californians,SAG,12,2500.00,2400.00,2400.00,2400.00
Californium Brewing and Winemaking,SAG,1,150.00,150.00,150.00,150.00
Catholic Students at Cal- Newman Hall,SAG,3,500.00,500.00,500.00,500.00
CEE Joint Fundraising Committee,SAG,1,0.00,0.00,0.00,0.00
Chi Epsilon,SAG,17,0.00,0.00,0.00,0.00
Chinese A Cappella at Berkeley,SAG,1,500.00,200.00,200.00,200.00
Chinese People Union,SAG,11,3485.00,1100.00,1100.00,1100.00
Chinese Student Association,SAG,25,4000.00,3000.00,3000.00,3000.00
