Organization Type,Sponsorship Category Name,Organization,Sponsorship Category,Year,Initial Allocation ($)
External,ASUC CHARTERED PROGRAMS AND COMMISSIONS,ASUC Publications and Media Board,GOVT,,8000.00
External,ASUC CHARTERED PROGRAMS AND COMMISSIONS,ASUC Student Union Program Entertainment & Recreation Board (SUPERB),GOVT,,130000.00
External,ASUC CHARTERED PROGRAMS AND COMMISSIONS,ASUC Sustainability Team,GOVT,,3000.00
External,ASUC CHARTERED PROGRAMS AND COMMISSIONS,Helios Solar Program,GOVT,,1000.00
External,ASUC CHARTERED PROGRAMS AND COMMISSIONS,Innovative Design,GOVT,,6600.00
External,ASUC CHARTERED PROGRAMS AND COMMISSIONS,Mental Health Coalition,GOVT,,500.00
External,ASUC CHARTERED PROGRAMS AND COMMISSIONS,Open Computing Facility,GOVT,,30000.00
External,ASUC CHARTERED PROGRAMS AND COMMISSIONS,Housing Commission,GOVT,,1000.00
External,ASUC CHARTERED PROGRAMS AND COMMISSIONS,CalTV,GOVT,,8500.00
External,ASUC CHARTERED PROGRAMS AND COMMISSIONS,Sexual Assault Commission ,GOVT,,3000.00
External,PUBLICATION GROUPS,BARE Magazine,PUB,10,3000.00
External,PUBLICATION GROUPS,Berkeley Fiction Review,PUB,34,1500.00
External,PUBLICATION GROUPS,Berkeley Poetry Review,PUB,23,2500.00
External,PUBLICATION GROUPS,"Berkeley Political Review, The (Political)",PUB,16,6000.00
External,PUBLICATION GROUPS,Berkeley Science Review,PUB,17,1100.00
External,PUBLICATION GROUPS,Berkeley Scientific Journal,PUB,2,500.00
External,PUBLICATION GROUPS,Blue and Gold Yearbook,PUB,4,900.00
External,PUBLICATION GROUPS,Cal Literature and Arts Magazine,PUB,26,2400.00
External,PUBLICATION GROUPS,Caliber Magazine,PUB,8,7200.00
External,PUBLICATION GROUPS,California Patriot Magazine,PUB,3,800.00
External,PUBLICATION GROUPS,Comparative Literature Undergraduate Journal,PUB,2,700.00
External,PUBLICATION GROUPS,Fashion Editorial of Berkeley,PUB,1,400.00
External,PUBLICATION GROUPS,K-Popular at Berkeley,PUB,7,600.00
External,PUBLICATION GROUPS,Maganda Magazine,PUB,28,2500.00
External,PUBLICATION GROUPS,Mechanism of Feeling,PUB,1,700.00
External,PUBLICATION GROUPS,Morning Sign Out,PUB,3,900.00
